What is the purpose of the ALU?,To perform arithmetic and logical operations,1.3,1
What is 1011 in denary?,11,2.5,2
Explain one benefit of using a library.,Code is already tested and saves development time,2.5,1
Define 'Abstraction'.,Removing unnecessary details to focus on important parts,2.6,3
What is the result of 14 MOD 3?,2,2.5,1
Why is a secondary storage device needed?,For permanent storage of data when power is lost,2.3,2
What is a 'Protocol'?,A set of rules for data transmission,2.6,3
State the purpose of the Program Counter (PC).,Holds the address of the next instruction to be fetched,2.5,2
Discuss the impact of the Digital Divide.,Inequality in access to info leads to social and economic gaps,2.5,2
Convert the hex value 'A' to denary.,10,2.5,2
What is an Interrupt?,A signal sent to the CPU to request immediate attention,2.5,1
What is the time complexity of a Linear Search?,O(n),2.3,5
What is a 'Packet'?,A small unit of data sent over a network,2.3,5
Explain the use of a Firewall.,To monitor and filter incoming and outgoing network traffic,2.5,1
What is 'Casting' in programming?,Converting a variable from one data type to another,2.5,1
What is the bit depth of a standard CD?,16 bits,2.5,2
What is the function of the BIOS?,To perform hardware initialization and boot the OS,2.0999999999999996,4
State one advantage of a Star network topology.,If one cable fails the rest of the network stays up,2.45,5
What is the decimal value of the binary 1100?,12,2.5,2
Define 'Metadata'.,Data that describes other data,2.4,7
What is the purpose of a GPU?,To handle intensive graphics processing and parallel tasks,2.5,1
Explain the term 'Paging'.,Dividing physical memory into fixed-size blocks,2.5,1
How many bytes are in a Kilobyte (KB)?,1024 bytes,2.5,1
What does HTTP stand for?,Hypertext Transfer Protocol,2.3,2
What is a 'Primary Key'?,A unique identifier for a record in a database,2.5,1
Describe a 'Man-in-the-middle' attack.,Intercepting communications between two parties secretly,2.5,1
What is the result of 17 DIV 5?,3,2.5,1
Define 'Encapsulation' in OOP.,Bundling data and methods that work on that data,2.5,1
What is an 'Iterative' process?,A process that repeats a set of instructions,2.5,1
State the time complexity of a Bubble Sort.,O(n^2),2.5,1
What is the purpose of the Memory Data Register (MDR)?,Holds the actual data being fetched or written to memory,2.5,1
What is 'Lossy' compression?,Compression where some data is permanently removed,2.3,2
Name the layer of the TCP/IP model that handles routing.,Internet Layer,2.5,1
What is an 'Attribute' in a database?,A characteristic or field of an entity,2.5,1
What is the purpose of an SSID?,To identify a specific wireless network,2.5,1
Explain the use of 'Parameters' in subroutines.,Variables passed into a function to be processed,2.3,2
What is 'Binary'?,A base-2 number system using 0 and 1,2.5,1
What is a 'Variable'?,A named memory location that can change value,2.5,1
Define 'Logic Gate'.,A building block of a digital circuit (AND/OR/NOT),2.6,3
What is the difference between RAM and ROM?,RAM is volatile; ROM is non-volatile,2.5,1
